CLOSE,DRIZZLE,80,9,COOL,CLEAR,survives
OVERLAP,DRIZZLE,99,3,COOL,FOG,survives
CLOSE,DRIZZLE,83,3,COOL,CLEAR,survives
OVERLAP,DRIZZLE,96,7,COOL,SUNNY,survives
CLOSE,DRIZZLE,88,5,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,81,8,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,70,13,COOL,CLEAR,survives
CLOSE,DRIZZLE,89,7,COOL,SUNNY,survives
CLOSE,DRIZZLE,90,6,COOL,CLEAR,survives
CLOSE,DRIZZLE,82,11,COOL,CLEAR,survives
CLOSE,DRIZZLE,74,14,COOL,CLEAR,survives
OVERLAP,DRIZZLE,88,9,COOL,SUNNY,survives
OVERLAP,DRIZZLE,99,11,COOL,FOG,survives
CLOSE,DRIZZLE,83,5,COOL,CLEAR,survives
CLOSE,DRIZZLE,99,5,COOL,DARK,survives
CLOSE,DRIZZLE,75,15,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,53,16,COOL,CLEAR,survives
CLOSE,DRIZZLE,72,10,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,59,17,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,74,13,COOL,CLEAR,survives
CLOSE,DRIZZLE,74,11,COOL,CLEAR,survives
CLOSE,DRIZZLE,79,4,COOL,SUNNY,survives
CLOSE,DRIZZLE,79,4,COOL,SUNNY,survives
CLOSE,DRIZZLE,73,11,COOL,SUNNY,survives
CLOSE,DRIZZLE,73,15,COOL,CLEAR,survives
CLOSE,DRIZZLE,74,2,WARM,SUNNY,survives
CLOSE,DRIZZLE,93,5,COOL,SUNNY,survives
CLOSE,DRIZZLE,87,12,COOL,SUNNY,survives
OVERLAP,DRIZZLE,99,4,COOL,SUNNY,survives
CLOSE,DRIZZLE,87,10,COOL,CLEAR,survives
CLOSE,DRIZZLE,96,5,COOL,DARK,survives
CLOSE,DRIZZLE,80,9,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,71,3,FREEZE,SUNNY,survives
CLOSE,DRIZZLE,65,33,COLD,MOONLIGHT,survives
CLOSE,DRIZZLE,88,13,COOL,MOONLIGHT,survives
OVERLAP,DRIZZLE,99,8,COOL,MOONLIGHT,survives
OVERLAP,DRIZZLE,91,8,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,80,11,COOL,CLEAR,survives
CLOSE,DRIZZLE,93,8,COOL,CLEAR,survives
CLOSE,DRIZZLE,95,5,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,83,12,COOL,MOONLIGHT,survives
OVERLAP,DRIZZLE,94,9,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,81,8,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,84,10,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,83,13,COLD,CLEAR,survives
CLOSE,DRIZZLE,87,3,COOL,CLEAR,survives
CLOSE,DRIZZLE,83,19,COLD,CLEAR,survives
OVERLAP,DRIZZLE,93,6,COLD,SUNNY,survives
CLOSE,DRIZZLE,84,10,COLD,CLEAR,survives
CLOSE,DRIZZLE,70,19,COOL,MOONLIGHT,survives
OVERLAP,DRIZZLE,99,4,COLD,FOG,survives
OVERLAP,DRIZZLE,98,5,COLD,FOG,survives
OVERLAP,DRIZZLE,95,1,COOL,SUNNY,survives
CLOSE,DRIZZLE,79,11,COOL,CLEAR,survives
OVERLAP,DRIZZLE,99,5,COOL,SUNNY,survives
CLOSE,DRIZZLE,99,4,COOL,SUNNY,survives
OVERLAP,DRIZZLE,91,4,COOL,SUNNY,survives
OVERLAP,DRIZZLE,96,8,COOL,SUNNY,survives
OVERLAP,DRIZZLE,100,3,COLD,FOG,survives
CLOSE,DRIZZLE,77,18,COOL,CLEAR,survives
CLOSE,DRIZZLE,88,28,COOL,MOONLIGHT,survives
CLOSE,DRIZZLE,79,28,COLD,DARK,survives
