CLEAR,11,11,82,DRIZZLE,10,survives
MOONLIGHT,10,14,78,DRIZZLE,10,uncertain
CLEAR,12,10,82,DRIZZLE,11,survives
MOONLIGHT,6,31,93,DRIZZLE,11,uncertain
DARK,6,17,76,DRIZZLE,10,dies
MOONLIGHT,8,10,87,DRIZZLE,11,uncertain
CLEAR,10,16,84,DRIZZLE,10,survives
MOONLIGHT,11,14,77,DRIZZLE,10,uncertain
CLEAR,14,12,75,DRIZZLE,10,survives
CLEAR,12,2,81,DRIZZLE,10,survives
MOONLIGHT,12,12,82,DRIZZLE,11,uncertain
CLEAR,10,8,84,DRIZZLE,11,survives
FOG,11,3,98,DRIZZLE,1,dies
FOG,13,8,96,DRIZZLE,2,dies
FOG,11,3,93,DRIZZLE,3,dies
CLEAR,15,2,84,DRIZZLE,10,survives
SUNNY,15,3,82,DRIZZLE,8,uncertain
CLEAR,15,9,78,DRIZZLE,10,survives
CLEAR,13,23,67,DRIZZLE,10,survives
SUNNY,10,1,100,DRIZZLE,5,uncertain
MOONLIGHT,12,7,66,DRIZZLE,15,uncertain
DARK,8,27,89,DRIZZLE,11,dies
SUNNY,7,9,93,DRIZZLE,6,uncertain
DARK,7,14,93,DRIZZLE,4,dies
MOONLIGHT,5,18,84,DRIZZLE,10,uncertain
SUNNY,6,0,82,DRIZZLE,6,uncertain
SUNNY,6,12,79,DRIZZLE,10,uncertain
CLEAR,25,3,70,DRIZZLE,10,uncertain
CLEAR,19,7,85,DRIZZLE,10,survives
CLEAR,19,9,78,DRIZZLE,11,survives
CLEAR,21,15,70,DRIZZLE,10,survives
CLEAR,22,14,81,DRIZZLE,10,uncertain
SUNNY,24,8,74,DRIZZLE,10,uncertain
DARK,20,10,92,DRIZZLE,11,dies
SUNNY,24,1,75,DRIZZLE,10,uncertain
MOONLIGHT,18,11,83,DRIZZLE,10,uncertain
CLEAR,17,11,75,DRIZZLE,10,survives
CLEAR,16,14,81,DRIZZLE,10,survives
CLEAR,18,2,80,DRIZZLE,10,survives
MOONLIGHT,17,11,76,DRIZZLE,10,uncertain
MOONLIGHT,15,8,93,DRIZZLE,11,uncertain
CLEAR,18,8,79,DRIZZLE,10,survives
DARK,15,15,94,DRIZZLE,11,dies
DARK,15,10,93,DRIZZLE,5,dies
MOONLIGHT,18,3,90,DRIZZLE,11,uncertain
DARK,12,9,93,DRIZZLE,10,dies
CLEAR,18,9,80,DRIZZLE,10,survives
CLEAR,18,5,89,DRIZZLE,11,survives
DARK,17,10,94,DRIZZLE,8,dies
CLEAR,18,10,89,DRIZZLE,10,survives
